College,Department,Category,Cutoff
E002 S K S J T Institute of Engineering Bangalore,CS Computers,3AG,20456
E002 S K S J T Institute of Engineering Bangalore,CS Computers,3AR,23951
E002 S K S J T Institute of Engineering Bangalore,CS Computers,3BG,23725
E002 S K S J T Institute of Engineering Bangalore,CS Computers,3BK,26085
E002 S K S J T Institute of Engineering Bangalore,CS Computers,GM,18691
E002 S K S J T Institute of Engineering Bangalore,CS Computers,GMK,21675
E002 S K S J T Institute of Engineering Bangalore,CS Computers,GMR,23297
E002 S K S J T Institute of Engineering Bangalore,CS Computers,SCG,46373
E002 S K S J T Institute of Engineering Bangalore,CS Computers,SCR,53473
E002 S K S J T Institute of Engineering Bangalore,CS Computers,STG,46082
E002 S K S J T Institute of Engineering Bangalore,EC Electronics,1G,40374
E002 S K S J T Institute of Engineering Bangalore,EC Electronics,2AG,42944
E002 S K S J T Institute of Engineering Bangalore,EC Electronics,2AR,43465
E002 S K S J T Institute of Engineering Bangalore,EC Electronics,2BG,53552
E002 S K S J T Institute of Engineering Bangalore,EC Electronics,3AG,40170
E002 S K S J T Institute of Engineering Bangalore,EC Electronics,3BG,36749
E002 S K S J T Institute of Engineering Bangalore,EC Electronics,3BR,42149
E002 S K S J T Institute of Engineering Bangalore,EC Electronics,GM,35440
E002 S K S J T Institute of Engineering Bangalore,EC Electronics,GMK,38497
E002 S K S J T Institute of Engineering Bangalore,EC Electronics,GMR,38469
E002 S K S J T Institute of Engineering Bangalore,EC Electronics,SCG,81197
E002 S K S J T Institute of Engineering Bangalore,EC Electronics,SCR,115444
E002 S K S J T Institute of Engineering Bangalore,EC Electronics,STG,79928
E002 S K S J T Institute of Engineering Bangalore,EC Electronics,STR,80136
E002 S K S J T Institute of Engineering Bangalore,ST Silk Tech.,1G,168689
E002 S K S J T Institute of Engineering Bangalore,ST Silk Tech.,2AG,172276
E002 S K S J T Institute of Engineering Bangalore,ST Silk Tech.,2AR,208471
E002 S K S J T Institute of Engineering Bangalore,ST Silk Tech.,3BG,174220
E002 S K S J T Institute of Engineering Bangalore,ST Silk Tech.,GM,149116
E002 S K S J T Institute of Engineering Bangalore,ST Silk Tech.,GMK,164811
E002 S K S J T Institute of Engineering Bangalore,ST Silk Tech.,GMR,162370
E002 S K S J T Institute of Engineering Bangalore,ST Silk Tech.,SCG,194350
E002 S K S J T Institute of Engineering Bangalore,ST Silk Tech.,STG,273387
E002 S K S J T Institute of Engineering Bangalore,TX Textiles,1G,210893
E002 S K S J T Institute of Engineering Bangalore,TX Textiles,2AG,203411
E002 S K S J T Institute of Engineering Bangalore,TX Textiles,2AK,207453
E002 S K S J T Institute of Engineering Bangalore,TX Textiles,2AR,218194
E002 S K S J T Institute of Engineering Bangalore,TX Textiles,2BG,268312
E002 S K S J T Institute of Engineering Bangalore,TX Textiles,3AG,191217
E002 S K S J T Institute of Engineering Bangalore,TX Textiles,3BG,199427
E002 S K S J T Institute of Engineering Bangalore,TX Textiles,GM,186669
E002 S K S J T Institute of Engineering Bangalore,TX Textiles,GMK,191875
E002 S K S J T Institute of Engineering Bangalore,TX Textiles,GMR,206529
E002 S K S J T Institute of Engineering Bangalore,TX Textiles,SCG,255842
E002 S K S J T Institute of Engineering Bangalore,TX Textiles,SCK,269591
E003 B M S College of Engineering - Basavanagudi Bangalore,CE Civil,1G,58994
E003 B M S College of Engineering - Basavanagudi Bangalore,CE Civil,2AG,64890
E003 B M S College of Engineering - Basavanagudi Bangalore,CE Civil,2AR,71843
E003 B M S College of Engineering - Basavanagudi Bangalore,CE Civil,2BG,73226
E003 B M S College of Engineering - Basavanagudi Bangalore,CE Civil,3AG,38333
E003 B M S College of Engineering - Basavanagudi Bangalore,CE Civil,3BG,41883
E003 B M S College of Engineering - Basavanagudi Bangalore,CE Civil,3BR,65223
E003 B M S College of Engineering - Basavanagudi Bangalore,CE Civil,GM,37896
E003 B M S College of Engineering - Basavanagudi Bangalore,CE Civil,GMK,53895
E003 B M S College of Engineering - Basavanagudi Bangalore,CE Civil,GMR,47288
